,original,just tokenization,stemming,lemmatization,stemming(snow) + misspellings,lemmatization + misspellings,stemming(lanc) + misspellings
452,Cloud over state boss Keshav Maurya's chances of becoming chief minister. ,cloud over state boss keshav maurya chances of becoming chief minister,cloud over state boss keshav maurya chanc of becom chief minist,cloud over state bos keshav maurya chance of becoming chief minister,cloud over state boss kasha marri chanc of becom chief minist,cloud over state bos kasha marry chance of becoming chief minister,cloud ov stat boss kash marry chant of becom chief min
453,most likely to be elected as UP CM: Sources ,most likely to be elected as up cm sources,most like to be elect as up cm sourc,most likely to be elected a up cm source,most like to be elect as up am sourc,most likely to be elected a up am source,most lik to be elect as up am sourc
454,India urges to talk to ,india urges to talk to,india urg to talk to,india urge to talk to,india urg to talk to,india urge to talk to,ind urg to talk to
455,What zoo is doing to mark ,what zoo is doing to mark,what zoo is do to mark,what zoo is doing to mark,what zoo is do to mark,what zoo is doing to mark,what zoo is doing to mark
456,100,,,,,,
457,"000 in villages are taught to Google designs, recipes  skills. ",in villages are taught to google designs recipes skills,in villag are taught to googl design recip skill,in village are taught to google design recipe skill,in villag are taught to goog design recip skill,in village are taught to googly design recipe skill,in vil ar taught to goog design recip skil
458,"HC scraps plea against JNU norms. Seat cuts, 100 per cent viva to follow ",hc scraps plea against jnu norms seat cuts per cent viva to follow,hc scrap plea against jnu norm seat cut per cent viva to follow,hc scrap plea against jnu norm seat cut per cent viva to follow,he scrap plea against nu norm seat cut per cent viva to follow,he scrap plea against nu norm seat cut per cent viva to follow,he scraps ple against nu norm seat cut per cent viv to follow
459,"After surprise resignation by boss Manohar, back to square one. ",after surprise resignation by boss manohar back to square one,after surpris resign by boss manohar back to squar one,after surprise resignation by bos manohar back to square one,after surpris resign by boss manor back to squar one,after surprise resignation by bos manor back to square one,aft surpr resign by boss man back to squ on
460,What happened to promised funds for ,what happened to promised funds for,what happen to promis fund for,what happened to promised fund for,what happen to promis fund for,what happened to promised fund for,what hap to prom fund for
461,Sudden blaze destroys bungalow. ,sudden blaze destroys bungalow,sudden blaze destroy bungalow,sudden blaze destroys bungalow,sudden blaze destroy bungalow,sudden blaze destroys bungalow,sud blaz destroy bungalow
462,No Some Bengal traffic cops do the with pen and  paper. ,no some bengal traffic cops do the with pen and paper,no some bengal traffic cop do the with pen and paper,no some bengal traffic cop do the with pen and paper,no some began traffic cop do the with pen and paper,no some began traffic cop do the with pen and paper,no som beg traff cop do the with pen and pap
463,"Leaving out has weakened travel ban order for Muslims, KP Nayar says. ",leaving out has weakened travel ban order for muslims kp nayar says,leav out has weaken travel ban order for muslim kp nayar say,leaving out ha weakened travel ban order for muslim kp nayar say,leav out has weaken travel ban order for museum up navar say,leaving out ha weakened travel ban order for museum up navar say,leav out has weak travel ban ord for museum up nav say
464,"Funds fear on research, too hot, death on 1st solo trip and more. Also in epaper. ",funds fear on research too hot death on solo trip and more also in epaper,fund fear on research too hot death on solo trip and more also in epap,fund fear on research too hot death on solo trip and more also in epaper,fund fear on research too hot death on solo trip and more also in paper,fund fear on research too hot death on solo trip and more also in paper,fund fear on research too hot dea on solo trip and mor also in pap
465,Newly elected MLAs to meet in Lucknow on Mar 18. ,newly elected mlas to meet in lucknow on mar,newli elect mlas to meet in lucknow on mar,newly elected mlas to meet in lucknow on mar,newli elect mas to meet in on mar,newly elected ma to meet in on mar,new elect mas to meet in on mar
466,New Delhi: Health Minister briefs Media on LIVE: ,new delhi health minister briefs media on live,new delhi health minist brief media on live,new delhi health minister brief medium on live,new deli health minist brief media on live,new deli health minister brief medium on live,new del heal min brief med on liv
467,protected against tampering/manipulation: Election Commission ,protected against tampering manipulation election commission,protect against tamper manipul elect commiss,protected against tampering manipulation election commission,protect against tamper manipul elect commiss,protected against tampering manipulation election commission,protect against tamp manip elect commit
468,Elaborate system in place to prevent misuse of EVMs: Election Commission ,elaborate system in place to prevent misuse of evms election commission,elabor system in place to prevent misus of evm elect commiss,elaborate system in place to prevent misuse of evms election commission,elabor system in place to prevent misus of eve elect commiss,elaborate system in place to prevent misuse of eve election commission,elab system in plac to prev misus of ev elect commit
469,"NIA takes over investigations into Bhopal-Ujjain  train IED blast case, takes custody of 3 accused from Bhopal police ",nia takes over investigations into bhopal ujjain train ied blast case takes custody of accused from bhopal police,nia take over investig into bhopal ujjain train ie blast case take custodi of accus from bhopal polic,nia take over investigation into bhopal ujjain train ied blast case take custody of accused from bhopal police,via take over investig into choral train die blast case take custodi of accus from choral polic,via take over investigation into choral train died blast case take custody of accused from choral police,via tak ov investig into chor train died blast cas tak custody of accus from chor pol
470,No merit in claims that can be tampered with; such allegations are wild and baseless: ,no merit in claims that can be tampered with such allegations are wild and baseless,no merit in claim that can be tamper with such alleg are wild and baseless,no merit in claim that can be tampered with such allegation are wild and baseless,no merit in claim that can be tamper with such alleg are wild and baseless,no merit in claim that can be tampered with such allegation are wild and baseless,no merit in claim that can be tamp with such alleg ar wild and baseless
471,"Navjot Singh Sidhu sworn in as a cabinet minister of govt, greeted by CM Captain Amarinder Singh ",navjot singh sidhu sworn in as a cabinet minister of govt greeted by cm captain amarinder singh,navjot singh sidhu sworn in as a cabinet minist of govt greet by cm captain amarind singh,navjot singh sidhu sworn in a a cabinet minister of govt greeted by cm captain amarinder singh,sing sadhu sworn in as a cabinet minist of got greet by am captain marin sing,sing sadhu sworn in a a cabinet minister of got greeted by am captain mariner sing,sing sadhu sworn in as a cabinet min of got greet by am captain marin sing
472,Capt Amarinder Singh takes oath as 26th Chief Minister of Watch LIVE:  ,capt amarinder singh takes oath as chief minister of watch live,capt amarind singh take oath as chief minist of watch live,capt amarinder singh take oath a chief minister of watch live,cat marin sing take oath as chief minist of watch live,cat mariner sing take oath a chief minister of watch live,cat marin sing tak oa as chief min of watch liv
473,British DHC Bruce Bucknell with Institute of Entrepreneurs Head Manoj Das discussing skill devt in NE at ,british dhc bruce bucknell with institute of entrepreneurs head manoj das discussing skill devt in ne at,british dhc bruce bucknel with institut of entrepreneur head manoj das discuss skill devt in ne at,british dhc bruce bucknell with institute of entrepreneur head manoj da discussing skill devt in ne at,brutish doc brace with institut of entrepreneur head manor was discuss skill debt in ne at,brutish doc brace with institute of entrepreneur head manor wa discussing skill debt in ne at,brut doc brac with institut of entrepr head man was discuss skil debt in ne at
474,"Akhilesh to meet newly elected SP MLAs today, to decide on new legislative party leader  future course of action. Will also",akhilesh to meet newly elected sp mlas today to decide on new legislative party leader future course of action will also,akhilesh to meet newli elect sp mlas today to decid on new legisl parti leader futur cours of action will also,akhilesh to meet newly elected sp mlas today to decide on new legislative party leader future course of action will also,to meet newli elect so mas today to decid on new legisl parti leader futur cours of action will also,to meet newly elected so ma today to decide on new legislative party leader future course of action will also,to meet new elect so mas today to decid on new legisl party lead fut cours of act wil also
475,"With 22 in support, CM to prove majority in assembly today.",with in support cm to prove majority in assembly today,with in support cm to prove major in assembl today,with in support cm to prove majority in assembly today,with in support am to prove major in assembl today,with in support am to prove majority in assembly today,with in support am to prov maj in assembl today
476,Why will be a smooth affair for today ,why will be a smooth affair for today,whi will be a smooth affair for today,why will be a smooth affair for today,whi will be a smooth affair for today,why will be a smooth affair for today,why wil be a smoo affair for today
477,When a man took his neighbour to court over pet dogs that bark at night-- and judge is a ,when a man took his neighbour to court over pet dogs that bark at night and judge is a,when a man took his neighbour to court over pet dog that bark at night and judg is a,when a man took his neighbour to court over pet dog that bark at night and judge is a,when a man took his neighbor to court over pet dog that bark at night and judg is a,when a man took his neighbor to court over pet dog that bark at night and judge is a,when a man took his neighb to court ov pet dog that bark at night and judg is a
478,Regimes changes. Bullying of police officers does not. ,regimes changes bullying of police officers does not,regim chang bulli of polic offic doe not,regime change bullying of police officer doe not,regim chang bulli of polic offic doe not,regime change bullying of police officer doe not,regim chang bul of pol off doe not
479,How returned to a warm welcome in ,how returned to a warm welcome in,how return to a warm welcom in,how returned to a warm welcome in,how return to a warm welcom in,how returned to a warm welcome in,how return to a warm welcom in
480,Boss of India's largest cautions against waiving ,boss of india largest cautions against waiving,boss of india largest caution against waiv,bos of india largest caution against waiving,boss of india largest caution against waiv,bos of india largest caution against waiving,boss of ind largest caut against waiv
481,Laws cannot replace the trust and compassion between and ,laws cannot replace the trust and compassion between and,law cannot replac the trust and compass between and,law cannot replace the trust and compassion between and,law cannot replac the trust and compass between and,law cannot replace the trust and compassion between and,law cannot replac the trust and compass between and
482,Amit Chaudhuri on and why it is hard to give up the experience of pleasurable pain. ,amit chaudhuri on and why it is hard to give up the experience of pleasurable pain,amit chaudhuri on and whi it is hard to give up the experi of pleasur pain,amit chaudhuri on and why it is hard to give up the experience of pleasurable pain,admit on and whi it is hard to give up the experi of pleasur pain,admit on and why it is hard to give up the experience of pleasurable pain,admit on and why it is hard to giv up the expery of pleas pain
483,Subir Bhaumik on how has cast a shadow over India's ties with ,subir bhaumik on how has cast a shadow over india ties with,subir bhaumik on how has cast a shadow over india tie with,subir bhaumik on how ha cast a shadow over india tie with,suit on how has cast a shadow over india tie with,suit on how ha cast a shadow over india tie with,suit on how has cast a shadow ov ind tie with
484,Shashank Manohar quits And how! ,shashank manohar quits and how,shashank manohar quit and how,shashank manohar quits and how,shashlik manor quit and how,shashlik manor quits and how,shashlik man quit and how
485,"How boss quit, caution on loan waivers, arson on film sets, and more. Also in epaper. ",how boss quit caution on loan waivers arson on film sets and more also in epaper,how boss quit caution on loan waiver arson on film set and more also in epap,how bos quit caution on loan waiver arson on film set and more also in epaper,how boss quit caution on loan waiver arson on film set and more also in paper,how bos quit caution on loan waiver arson on film set and more also in paper,how boss quit caut on loan waiv arson on film set and mor also in pap
486,Govt seems to have slipped in an in Budget2017. ,govt seems to have slipped in an in,govt seem to have slip in an in,govt seems to have slipped in an in,got seem to have slip in an in,got seems to have slipped in an in,got seem to hav slip in an in
488,Rohith's buddy's autopsy caught in distrust ,rohith buddy autopsy caught in distrust,rohith buddi autopsi caught in distrust,rohith buddy autopsy caught in distrust,eolith buddi autopsi caught in distrust,eolith buddy autopsy caught in distrust,eoli buddy autopsy caught in distrust
489,"Rape-accused leader Gayatri Prajapati nabbed --after roaming in Delhi, Gurgaon and Bengal. ",rape accused leader gayatri prajapati nabbed after roaming in delhi gurgaon and bengal,rape accus leader gayatri prajapati nab after roam in delhi gurgaon and bengal,rape accused leader gayatri prajapati nabbed after roaming in delhi gurgaon and bengal,rape accus leader nab after roam in deli surgeon and began,rape accused leader nabbed after roaming in deli surgeon and began,rap accus lead nab aft roam in del surgeon and beg
490,Municipal in to be held on April 22: State Election Commission,municipal in to be held on april state election commission,municip in to be held on april state elect commiss,municipal in to be held on april state election commission,municip in to be held on aril state elect commiss,municipal in to be held on aril state election commission,municip in to be held on aril stat elect commit
491,Manohar sworn in as chief minister of ,manohar sworn in as chief minister of,manohar sworn in as chief minist of,manohar sworn in a chief minister of,manor sworn in as chief minist of,manor sworn in a chief minister of,man sworn in as chief min of
492,CM demands conducting MCD polls via ballot paper in place of EVMs ,cm demands conducting mcd polls via ballot paper in place of evms,cm demand conduct mcd poll via ballot paper in place of evm,cm demand conducting mcd poll via ballot paper in place of evms,am demand conduct mad poll via ballot paper in place of eve,am demand conducting mad poll via ballot paper in place of eve,am demand conduc mad pol via ballot pap in plac of ev
493,"SC refuses to stop from becoming CM, but calls floor test. ",sc refuses to stop from becoming cm but calls floor test,sc refus to stop from becom cm but call floor test,sc refuse to stop from becoming cm but call floor test,so refus to stop from becom am but call floor test,so refuse to stop from becoming am but call floor test,so refus to stop from becom am but cal flo test
494,Finance minister has been given additional charge of ministry of Rashtrapati Bhavan,finance minister has been given additional charge of ministry of rashtrapati bhavan,financ minist has been given addit charg of ministri of rashtrapati bhavan,finance minister ha been given additional charge of ministry of rashtrapati bhavan,financ minist has been given addit charg of ministri of haven,finance minister ha been given additional charge of ministry of haven,fin min has been giv addit charg of min of hav
495,"Shri Arun Jaitley shall be assigned the charge of the Ministry of Defence, in addition to his existing portfolios",shri arun jaitley shall be assigned the charge of the ministry of defence in addition to his existing portfolios,shri arun jaitley shall be assign the charg of the ministri of defenc in addit to his exist portfolio,shri arun jaitley shall be assigned the charge of the ministry of defence in addition to his existing portfolio,sari run jail shall be assign the charg of the ministri of defens in addit to his exist portfolio,sari run jailed shall be assigned the charge of the ministry of defense in addition to his existing portfolio,sar run jail shal be assign the charg of the min of defens in addit to his ex portfolio
496,has accepted the resignation of Shri Manohar Parrikar from the Council of Ministers with immediate,has accepted the resignation of shri manohar parrikar from the council of ministers with immediate,has accept the resign of shri manohar parrikar from the council of minist with immedi,ha accepted the resignation of shri manohar parrikar from the council of minister with immediate,has accept the resign of sari manor paprika from the council of minist with immedi,ha accepted the resignation of sari manor paprika from the council of minister with immediate,has acceiv the resign of sar man paprik from the council of min with immedy
497,FinMin Arun Jaitley given additional charge of Defence Ministry following Manohar Parikkar's resignation: Rashtrapati Bhav,finmin arun jaitley given additional charge of defence ministry following manohar parikkar resignation rashtrapati bhav,finmin arun jaitley given addit charg of defenc ministri follow manohar parikkar resign rashtrapati bhav,finmin arun jaitley given additional charge of defence ministry following manohar parikkar resignation rashtrapati bhav,find run jail given addit charg of defens ministri follow manor palikar resign that,finding run jailed given additional charge of defense ministry following manor palikar resignation that,find run jail giv addit charg of defens min follow man palik resign that
498,No limits on cash withdrawals from today ,no limits on cash withdrawals from today,no limit on cash withdraw from today,no limit on cash withdrawal from today,no limit on cash withdraw from today,no limit on cash withdrawal from today,no limit on cash withdraw from today
499,"Parrikar resigns as defence minister, to be sworn in as chief minister tomorrow. ",parrikar resigns as defence minister to be sworn in as chief minister tomorrow,parrikar resign as defenc minist to be sworn in as chief minist tomorrow,parrikar resigns a defence minister to be sworn in a chief minister tomorrow,paprika resign as defens minist to be sworn in as chief minist tomorrow,paprika resigns a defense minister to be sworn in a chief minister tomorrow,paprik resign as defens min to be sworn in as chief min tomorrow
500,The Hindu undercurrent that led to surge. My story from Feb.  ,the hindu undercurrent that led to surge my story from february,the hindu undercurr that led to surg my stori from februari,the hindu undercurrent that led to surge my story from february,the hind undercurr that led to surg my stori from,the hind undercurrent that led to surge my story from,the hind undercur that led to surg my story from
501,Raj Bhavan denies reports of calling any party to form the government.,raj bhavan denies reports of calling any party to form the government,raj bhavan deni report of call ani parti to form the govern,raj bhavan denies report of calling any party to form the government,raj haven deni report of call ani parti to form the govern,raj haven denies report of calling any party to form the government,raj hav deny report of cal any party to form the govern
502,Governor asks Congress CM Okram Ibobi Singh to resign so that process of formation of next govt can be started.,governor asks congress cm okram ibobi singh to resign so that process of formation of next govt can be started,governor ask congress cm okram ibobi singh to resign so that process of format of next govt can be start,governor asks congress cm okram ibobi singh to resign so that process of formation of next govt can be started,governor ask congress am okra bob sing to resign so that process of format of next got can be start,governor asks congress am okra bob sing to resign so that process of formation of next got can be started,govern ask congress am okr bob sing to resign so that process of form of next got can be start
503,walks; leaders bow before the 'Nayak'. My story  ,walks leaders bow before the my story,walk leader bow befor the my stori,walk leader bow before the my story,walk leader bow befor the my stori,walk leader bow before the my story,walk lead bow bef the my story
504,"In this mandate, I see a new Highlights of PM speech at BJP HQ ",in this mandate i see a new highlights of pm speech at bjp hq,in this mandat i see a new highlight of pm speech at bjp hq,in this mandate i see a new highlight of pm speech at bjp hq,in this mandat i see a new highlight of am speech at bop he,in this mandate i see a new highlight of am speech at bop he,in thi mand i see a new highlight of am speech at bop he
505,Oil prices hit three-month low as U.S. rig count climbs ,oil prices hit three month low as you s rig count climbs,oil price hit three month low as you s rig count climb,oil price hit three month low a you s rig count climb,oil price hit three month low as you s rig count climb,oil price hit three month low a you s rig count climb,oil pric hit three mon low as you s rig count climb
506,Assam lawmaker wants national body to save the ,assam lawmaker wants national body to save the,assam lawmak want nation bodi to save the,assam lawmaker want national body to save the,assay lawmak want nation bodi to save the,assay lawmaker want national body to save the,assay lawmak want nat body to sav the
507,200000 people turned up at in Bolpur for its famed ,people turned up at in bolpur for its famed,peopl turn up at in bolpur for it fame,people turned up at in bolpur for it famed,peopl turn up at in blur for it fame,people turned up at in blur for it famed,peopl turn up at in blur for it fam
508,"Hardest interview of my life, says of her bid to enter ",hardest interview of my life says of her bid to enter,hardest interview of my life say of her bid to enter,hardest interview of my life say of her bid to enter,hardest interview of my life say of her bid to enter,hardest interview of my life say of her bid to enter,hardest interview of my lif say of her bid to ent
509,Here's BSP theory on why with 71% population voted BJP. ,here is bsp theory on why with population voted bjp,here is bsp theori on whi with popul vote bjp,here is bsp theory on why with population voted bjp,here is bop theori on whi with popul vote bop,here is bop theory on why with population voted bop,her is bop the on why with pop vot bop
510,"People don't want handouts, they want says at victory rally. ",people do not want handouts they want says at victory rally,peopl do not want handout they want say at victori ralli,people do not want handout they want say at victory rally,peopl do not want handout they want say at victori ralli,people do not want handout they want say at victory rally,peopl do not want handout they want say at vict ral
511,"Modi says people don't want handouts, Malala's Oxford entry, reverse polarisation and more. In special epaper link. ",modi says people do not want handouts malala oxford entry reverse polarisation and more in special epaper link,modi say peopl do not want handout malala oxford entri revers polaris and more in special epap link,modi say people do not want handout malala oxford entry reverse polarisation and more in special epaper link,mode say peopl do not want handout halala oxford entri revers polar and more in special paper link,mode say people do not want handout halala oxford entry reverse polarization and more in special paper link,mod say peopl do not want handout halal oxford entry revers pol and mor in spec pap link
512,"No print edition today, but the same look at epaper at special link. ",no print edition today but the same look at epaper at special link,no print edit today but the same look at epap at special link,no print edition today but the same look at epaper at special link,no print edit today but the same look at paper at special link,no print edition today but the same look at paper at special link,no print edit today but the sam look at pap at spec link
513,"Match referee and umpires went by the book, says ",match referee and umpires went by the book says,match refere and umpir went by the book say,match referee and umpire went by the book say,match refere and umpir went by the book say,match referee and umpire went by the book say,match ref and umpir went by the book say
514,After BJP claims voters have risen above ,after bjp claims voters have risen above,after bjp claim voter have risen abov,after bjp claim voter have risen above,after bop claim voter have risen abov,after bop claim voter have risen above,aft bop claim vot hav ris abov
515,How has strengthened a sense of belonging among Calcutta's ,how has strengthened a sense of belonging among calcutta,how has strengthen a sens of belong among calcutta,how ha strengthened a sense of belonging among calcutta,how has strengthen a sens of belong among,how ha strengthened a sense of belonging among,how has strengthened a sens of belong among
516,Hiring people for a task in which they have an edge. ,hiring people for a task in which they have an edge,hire peopl for a task in which they have an edg,hiring people for a task in which they have an edge,hire peopl for a task in which they have an edg,hiring people for a task in which they have an edge,hir peopl for a task in which they hav an edg
517,The consolidation of independent 2nd countrywide political entity. ,the consolidation of independent countrywide political entity,the consolid of independ countrywid polit entiti,the consolidation of independent countrywide political entity,the consolid of independ countrywid polit entiti,the consolidation of independent countrywide political entity,the consolid of independ countrywid polit ent
518,"In 7Days today: BJP's expanding footprint, taking up gatka, Brit-bashing, hiring blind employees. And more. ",in today bjp expanding footprint taking up gatka brit bashing hiring blind employees and more,in today bjp expand footprint take up gatka brit bash hire blind employe and more,in today bjp expanding footprint taking up gatka brit bashing hiring blind employee and more,in today bop expand footprint take up gotta brit bash hire blind employe and more,in today bop expanding footprint taking up gotta brit bashing hiring blind employee and more,in today bop expand footprint tak up gott brit bash hir blind employ and mor
519,U.S. Attorney Preet Bharara is fired after refusing to quit. More here: ,you s attorney preet bharara is fired after refusing to quit more here,you s attorney preet bharara is fire after refus to quit more here,you s attorney preet bharara is fired after refusing to quit more here,you s attorney greet bharal is fire after refus to quit more here,you s attorney greet bharal is fired after refusing to quit more here,you s attorney greet bhar is fir aft refus to quit mor her
520,"Yogi Adityanath or Keshav Prasad Maurya, know the names of who can possibly be next UP CM VIDEO: ",yogi adityanath or keshav prasad maurya know the names of who can possibly be next up cm video,yogi adityanath or keshav prasad maurya know the name of who can possibl be next up cm video,yogi adityanath or keshav prasad maurya know the name of who can possibly be next up cm video,yogi or kasha pray marri know the name of who can possibl be next up am video,yogi or kasha prayed marry know the name of who can possibly be next up am video,yog or kash pray marry know the nam of who can poss be next up am video
521,Time for Modi's reforms. ,time for modi reforms,time for modi reform,time for modi reform,time for mode reform,time for mode reform,tim for mod reform
522,Piyush Srivastava looks at the stunning victory in ,piyush srivastava looks at the stunning victory in,piyush srivastava look at the stun victori in,piyush srivastava look at the stunning victory in,push look at the stun victori in,push look at the stunning victory in,push look at the stun vict in
523,Should be a black mark on report card?  ,should be a black mark on report card,should be a black mark on report card,should be a black mark on report card,should be a black mark on report card,should be a black mark on report card,should be a black mark on report card
524,How became demonetised notes in ,how became demonetised notes in,how becam demonetis note in,how became demonetised note in,how becam demonet note in,how became demonetized note in,how becam demonet not in
525,Why victory may be bad news for ,why victory may be bad news for,whi victori may be bad news for,why victory may be bad news for,whi victori may be bad news for,why victory may be bad news for,why vict may be bad new for
526,Mukul Kesavan on BCCI and the curious case of versus Steve Smith. ,mukul kesavan on bcci and the curious case of versus steve smith,mukul kesavan on bcci and the curious case of versus steve smith,mukul kesavan on bcci and the curious case of versus steve smith,mutual on bocci and the curious case of versus stove smith,mutual on bocci and the curious case of versus stove smith,mut on bocc and the cury cas of vers stov smi
527,How magic combined with organisational strength brought back 1-party system. ,how magic combined with organisational strength brought back party system,how magic combin with organis strength brought back parti system,how magic combined with organisational strength brought back party system,how magic combin with organiz strength brought back parti system,how magic combined with organizational strength brought back party system,how mag combin with org strength brought back party system
528,"How Modi won UP, dynasties demonetised, what the numbers say, and more. Also in epaper. ",how modi won up dynasties demonetised what the numbers say and more also in epaper,how modi won up dynasti demonetis what the number say and more also in epap,how modi won up dynasty demonetised what the number say and more also in epaper,how mode won up dynasti demonet what the number say and more also in paper,how mode won up dynasty demonetized what the number say and more also in paper,how mod won up dynasty demonet what the numb say and mor also in pap
529,"After 15 years, BJP captures in record show. ",after years bjp captures in record show,after year bjp captur in record show,after year bjp capture in record show,after year bop captur in record show,after year bop capture in record show,aft year bop capt in record show
530,"Congress wins 77 seats in 117-member assembly, 1 short of two-thirds majority.",congress wins seats in member assembly short of two thirds majority,congress win seat in member assembl short of two third major,congress win seat in member assembly short of two third majority,congress win seat in member assembl short of two third major,congress win seat in member assembly short of two third majority,congress win seat in memb assembl short of two third maj
531,BJP (13 seats) fails to get majority in Congress emerges single largest party bagging 17 seats in 40-member House.,bjp seats fails to get majority in congress emerges single largest party bagging seats in member house,bjp seat fail to get major in congress emerg singl largest parti bag seat in member hous,bjp seat fails to get majority in congress emerges single largest party bagging seat in member house,bop seat fail to get major in congress emerg singl largest parti bag seat in member hous,bop seat fails to get majority in congress emerges single largest party bagging seat in member house,bop seat fail to get maj in congress emerg singl largest party bag seat in memb hous
532,I congratulate Shri. Narendra Modi and the BJP on their victory in Uttar Pradesh  Uttarakhand,i congratulate shri narendra modi and the bjp on their victory in uttar pradesh uttarakhand,i congratul shri narendra modi and the bjp on their victori in uttar pradesh uttarakhand,i congratulate shri narendra modi and the bjp on their victory in uttar pradesh uttarakhand,i congratul sari mode and the bop on their victori in utter grade,i congratulate sari mode and the bop on their victory in utter grade,i congrat sar mod and the bop on their vict in ut grad
533,"l Congratulate people of UP, we respect and accept the verdict: AIMIM chief ",l congratulate people of up we respect and accept the verdict aimim chief,l congratul peopl of up we respect and accept the verdict aimim chief,l congratulate people of up we respect and accept the verdict aimim chief,l congratul peopl of up we respect and accept the verdict admit chief,l congratulate people of up we respect and accept the verdict admit chief,l congrat peopl of up we respect and acceiv the verdict admit chief
534,"l reaches Raj Bhavan in to tender resignation as UP CM , I CM Laxmikant Parsekar tenders resignation. He lost to seeandidate Dayanand Sopte from see, I want to quit fighting any type of election: Irom Sharmila after losing her maiden election in (ANI)",l reaches raj bhavan in to tender resignation as up cm i cm laxmikant parsekar tenders resignation he lost to seeandidate dayanand sopte from see i want to quit fighting any type of election irom sharmila after losing her maiden election in ani,l reach raj bhavan in to tender resign as up cm i cm laxmik parsekar tender resign he lost to seeandid dayanand sopt from see i want to quit fight ani type of elect irom sharmila after lose her maiden elect in ani,l reach raj bhavan in to tender resignation a up cm i cm laxmikant parsekar tender resignation he lost to seeandidate dayanand sopte from see i want to quit fighting any type of election irom sharmila after losing her maiden election in ani,l reach raj haven in to tender resign as up am i am parser tender resign he lost to some from see i want to quit fight ani type of elect from sharia after lose her maiden elect in ani,l reach raj haven in to tender resignation a up am i am parser tender resignation he lost to some from see i want to quit fighting any type of election from sharia after losing her maiden election in ani,l reach raj hav in to tend resign as up am i am pars tend resign he lost to som from see i want to quit fight any typ of elect from shar aft los her maid elect in an
535,| I can understand the state ohf mind ohf ji right nohw. Hence,i can understand the state ohf mind ohf ji right nohw hence,i can understand the state ohf mind ohf ji right nohw henc,i can understand the state ohf mind ohf ji right nohw hence,i can understand the state of mind of i right now henc,i can understand the state of mind of i right now hence,i can understand the stat of mind of i right now hent
536,I dohn't want toh cohmment ohn it: Amit Shah oh,i dohn want toh cohmment ohn it amit shah oh,i dohn want toh cohmment ohn it amit shah oh,i dohn want toh cohmment ohn it amit shah oh,i down want to comment on it admit shah oh,i down want to comment on it admit shah oh,i down want to com on it admit shah oh
537,| chief press conference to begin shortly. Stay tuned.  ,chief press conference to begin shortly stay tuned,chief press confer to begin short stay tune,chief press conference to begin shortly stay tuned,chief press confer to begin short stay tune,chief press conference to begin shortly stay tuned,chief press conf to begin short stay tun
538,"gets majority in 117-member wins 59 seats, leading in 18 other seats.",gets majority in member wins seats leading in other seats,get major in member win seat lead in other seat,get majority in member win seat leading in other seat,get major in member win seat lead in other seat,get majority in member win seat leading in other seat,get maj in memb win seat lead in oth seat
539,As BJP heads for landslide win in Samajwadis concede defeat but Mayawati wants fresh polls using paper votes. ,as bjp heads for landslide win in samajwadis concede defeat but mayawati wants fresh polls using paper votes,as bjp head for landslid win in samajwadi conced defeat but mayawati want fresh poll use paper vote,a bjp head for landslide win in samajwadis concede defeat but mayawati want fresh poll using paper vote,as bop head for landslid win in conced defeat but want fresh poll use paper vote,a bop head for landslide win in concede defeat but want fresh poll using paper vote,as bop head for landslid win in cont def but want fresh pol us pap vot
540,UPDATE: Manhattan attorney Preet Bharara was asked to resign along with other Obama-era U.S. attorneys - DOJ. ,update manhattan attorney preet bharara was asked to resign along with other obama era you s attorneys doj,updat manhattan attorney preet bharara was ask to resign along with other obama era you s attorney doj,update manhattan attorney preet bharara wa asked to resign along with other obama era you s attorney doj,updat manhattan attorney greet bharal was ask to resign along with other mama era you s attorney do,update manhattan attorney greet bharal wa asked to resign along with other mama era you s attorney do,upd manhat attorney greet bhar was ask to resign along with oth mam er you s attorney do
541,What Jharkhand body has been doing to upgrade pitch for test. ,what jharkhand body has been doing to upgrade pitch for test,what jharkhand bodi has been do to upgrad pitch for test,what jharkhand body ha been doing to upgrade pitch for test,what bodi has been do to upgrad pitch for test,what body ha been doing to upgrade pitch for test,what body has been doing to upgrad pitch for test
542,Manipur Assembly Election Result Live: Congress ahead in 6 seats ,manipur assembly election result live congress ahead in seats,manipur assembl elect result live congress ahead in seat,manipur assembly election result live congress ahead in seat,manicur assembl elect result live congress ahead in seat,manicure assembly election result live congress ahead in seat,man assembl elect result liv congress ahead in seat
543,"We will accept the people's mandate, says SP leader Shivpal Yadav , l  Uttar Pradesh (leads/trends) 373/403 264 70 27 Others 12 ",we will accept the people mandate says sp leader shivpal yadav l uttar pradesh leads trends others,we will accept the peopl mandat say sp leader shivpal yadav l uttar pradesh lead trend other,we will accept the people mandate say sp leader shivpal yadav l uttar pradesh lead trend others,we will accept the peopl mandat say so leader shiva radar l utter grade lead trend other,we will accept the people mandate say so leader shiva radar l utter grade lead trend others,we wil acceiv the peopl mand say so lead shiv rad l ut grad lead trend oth
545,How has become epicentre of industry in Bihar. ,how has become epicentre of industry in bihar,how has becom epicentr of industri in bihar,how ha become epicentre of industry in bihar,how has becom epicent of industri in bear,how ha become epicenter of industry in bear,how has becom ep of industry in bear
